nom_fichier,categorie,is_valid,siret_extracted,tva_extracted,iban_extracted,bic_extracted,date_extracted,siret_correct,tva_correct,iban_correct,bic_correct,date_correct
00d2b4549579f43a40f0ad0ca4c8e44a.pdf,attestation_siret,True,60480589500819,,,,1985-01-09,False,True,True,True,False
017d2d2f841ef73b61feece43ed1d556.pdf,attestation_siret,True,68650863100831,,,,2024-08-06,False,True,True,True,False
02e82c88bc92ef552e0cddd79441b185.pdf,attestation_siret,True,99611253800532,,,,1991-05-02,False,True,True,True,False
03bb0d5dcc85f75c664a583274b61009.pdf,attestation_siret,True,47705383900148,,,,2007-05-07,False,True,True,True,False
0535180db4c77c2510f330cf118eaeac.pdf,attestation_siret,True,14163356000612,,,,2006-06-14,False,True,True,True,False
0741e9ce77920e70644fbc507c321caf.pdf,attestation_siret,True,86338392300290,,,,2008-01-01,False,True,True,True,False
07463d32144a4ee27f42e392bb7f2e93.pdf,attestation_siret,True,84325621500032,,,,2016-02-20,False,True,True,True,False
07ebe124436eaab610149489cc937283.pdf,attestation_siret,True,55543840700028,,,,2025-06-14,False,True,True,True,False
07f394ac00f1ede7b1d547875962db0f.pdf,attestation_siret,True,78487282200605,,,,2020-12-18,False,True,True,True,False
087358cfe4eb864da5863b94251f2923.pdf,attestation_siret,True,88608680000317,,,,1990-09-22,False,True,True,True,False
08a514ebd78ed7536208f7319aaf3e3f.pdf,attestation_siret,True,11179080400996,,,,2002-10-27,False,True,True,True,False
0ae14e0cd795466b4d4bf2139c8570cc.pdf,attestation_siret,True,81298266800921,,,,1971-09-12,False,True,True,True,False
0eff58951cadb78c3e27d2847bb70d22.pdf,attestation_siret,True,90604805300951,,,,2006-09-29,False,True,True,True,False
0f5bc4a359c3a8787f8d05944677ab5e.pdf,attestation_siret,True,34722820700291,,,,1992-02-17,False,True,True,True,False
0f7bbf2381e3a2e21235a40df8cc2a28.pdf,attestation_siret,True,79371452800221,,,,2018-01-22,False,True,True,True,False
10e3928417a827abbd0865a90d336c31.pdf,attestation_siret,True,,,,,1979-09-06,True,True,True,True,False
12164e261e6b4938c5f749ff6f5f38dc.pdf,attestation_siret,True,00369155700882,,,,2011-09-13,False,True,True,True,False
133058285a79fcd2900615210623f445.pdf,attestation_siret,True,79071416600879,,,,2013-02-13,False,True,True,True,False
1430f1f7b63afe799cfe8ca96d9a244d.pdf,attestation_siret,True,61872346400342,,,,1986-12-10,False,True,True,True,False
15b903f08661d32745c7c4a5720b8d4b.pdf,attestation_siret,True,51181022800821,,,,1972-02-17,False,True,True,True,False
18d33f884af93732969a736c8a523166.pdf,attestation_siret,True,78487392900904,,,,2006-12-29,False,True,True,True,False
1b2e65eca3043fa99492a3fc6d4f0d5e.pdf,attestation_siret,True,46187234300078,,,,2025-08-12,False,True,True,True,False
1c3155e0ece7ca8a8cd26ff6446ea08c.pdf,attestation_siret,True,09610556400387,,,,1998-05-06,False,True,True,True,False
1c407d0939879e248ee9f7de3e58c6e3.pdf,attestation_siret,True,12345678901234,,,,1999-11-30,False,True,True,True,False
1d2df550fbbf791029a71d84b881923b.pdf,attestation_siret,True,,,,,1972-12-27,True,True,True,True,False
1e1be37f69bf3a476dcd462e75a146af.pdf,attestation_siret,True,,,,,1991-12-20,True,True,True,True,False
1e5fe128073d4870edf25b96a15d7194.pdf,attestation_siret,True,,,,,2022-01-10,True,True,True,True,False
1ef0e31776fb505a236d353eb6132dcd.pdf,attestation_siret,True,56512694300267,,,,1987-10-13,False,True,True,True,False
1f3e604e017f53ebef67a3e879b5eec1.pdf,attestation_siret,True,47697357300738,,,,1971-11-11,False,True,True,True,False
1fcc333d592015a868bbab59b50aa95f.pdf,attestation_siret,True,08620959000586,,,,2014-10-18,False,True,True,True,False
2490062bbd486e9fc6c74c14279b7c69.pdf,attestation_siret,True,96884578400956,,,,1985-06-16,False,True,True,True,False
25a558b5d2f7d1fb3e1a5f750e9dd0bd.pdf,attestation_siret,True,93983684700417,,,,1994-07-02,False,True,True,True,False
276996ddd63b1d6a1dd9bbacf02c90ff.pdf,attestation_siret,True,28975585200844,,,,2022-01-01,False,True,True,True,False
27fd8bba21e59ea913b16a91e8208dcb.pdf,attestation_siret,True,35647570700630,,,,1992-06-22,False,True,True,True,False
289a38def1fb1dfbd16faa9fc0329806.pdf,attestation_siret,True,99611253800805,,,,2014-06-09,False,True,True,True,False
2b3716da957051d964400e0740a8eba3.pdf,attestation_siret,True,45303856400085,,,,2001-12-17,False,True,True,True,False
2c735bb88f0524c00899dffb057bc492.pdf,attestation_siret,True,,,,,1986-09-21,True,True,True,True,False
2d5a79293e7c3c560f05563d353f946d.pdf,attestation_siret,True,64240082400461,,,,1993-05-27,False,True,True,True,False
2e6f0fdb5a5e3dab8da1f6cd3e9eaacb.pdf,attestation_siret,True,86376599600898,,,,1987-04-28,False,True,True,True,False
30883d1ea84485c32d6405f6672d88ee.pdf,attestation_siret,True,32983248900168,,,,2014-08-28,False,True,True,True,False
30b535bfb055e694074e81b65e897fcb.pdf,attestation_siret,True,21442703100023,,,,2003-08-03,False,True,True,True,False
30fa6023e4bb45436fb6a1419e77338d.pdf,attestation_siret,True,43479552200706,,,,2003-12-10,False,True,True,True,False
316b5147c4eba444cedc4d1f0f4e76ea.pdf,attestation_siret,True,97573660400565,,,,1991-04-18,False,True,True,True,False
32f510f0cd04377857fdd71880de29a8.pdf,attestation_siret,True,,,,,2023-11-01,True,True,True,True,False
3557a24de784431d3d4e639a77e6297f.pdf,attestation_siret,True,43866322100127,,,,1982-01-07,False,True,True,True,False
358373cfa6fa67b8088919b326a01daa.pdf,attestation_siret,True,88487920600263,,,,1995-08-18,False,True,True,True,False
376dde561668513e8fe1c9c524c3daff.pdf,attestation_siret,True,84506159700710,,,,1983-07-17,False,True,True,True,False
3aa313d326b454dc23b4966cc3e167a3.pdf,attestation_siret,True,64300981400697,,,,2005-05-15,False,True,True,True,False
3ac304e44f0e85966082aba803849ab2.pdf,attestation_siret,True,86338392300290,,,,1977-03-07,False,True,True,True,False
3acf79801106695519eef53f0a53a17d.pdf,attestation_siret,True,96884578400816,,,,1994-11-22,False,True,True,True,False
3ba4404a128db39f84aaa889de249bf7.pdf,attestation_siret,True,68663266200249,,,,1985-01-04,False,True,True,True,False
3bc7f28a9c07382e0ab45c7064aac4ae.pdf,attestation_siret,True,63878294600682,,,,2013-08-12,False,True,True,True,False
3d55bce36c2c686df6f707fb40ac008e.pdf,attestation_siret,True,15727919100272,,,,2019-09-24,False,True,True,True,False
3e28c920f15f302abba7902fb3d41562.pdf,attestation_siret,True,96789940200044,,,,2011-03-28,False,True,True,True,False
40c572a534f697a04dcc29191dcaa99d.pdf,attestation_siret,True,,,,,2011-01-20,True,True,True,True,False
414f9b89eef75e4757f56a4e754f2b12.pdf,attestation_siret,True,12345678901234,,,,1991-04-18,False,True,True,True,False
